Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,135,3,0.020,1789389240896562.083	,1789389240896562.103	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,0,22.201,1789389240921494.561	,1789389240921516.762	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,1,19.781,1789389240921536.502	,1789389240921556.283	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,2,9.660,1789389240921559.503	,1789389240921569.163	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,3,9.760,1789389240921569.203	,1789389240921578.963	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,4,9.260,1789389240921578.983	,1789389240921588.243	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,5,9.160,1789389240921588.263	,1789389240921597.423	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,6,9.641,1789389240921597.463	,1789389240921607.104	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,7,9.440,1789389240921607.144	,1789389240921616.584	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,8,8.980,1789389240921616.624	,1789389240921625.604	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,9,9.140,1789389240921625.624	,1789389240921634.764	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,10,9.280,1789389240921634.784	,1789389240921644.064	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,11,9.341,1789389240921644.084	,1789389240921653.425	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,12,9.300,1789389240921653.445	,1789389240921662.745	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,13,9.480,1789389240921662.765	,1789389240921672.245	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,14,9.620,1789389240921672.265	,1789389240921681.885	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,15,9.620,1789389240921681.905	,1789389240921691.525	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,16,9.761,1789389240921691.545	,1789389240921701.306	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,17,8.980,1789389240921701.346	,1789389240921710.326	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,18,9.480,1789389240921710.346	,1789389240921719.826	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,19,9.440,1789389240921719.846	,1789389240921729.286	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,20,9.560,1789389240921729.326	,1789389240921738.886	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,21,9.440,1789389240921738.906	,1789389240921748.346	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,22,9.181,1789389240921748.386	,1789389240921757.567	
0,MhcHeadCollapse,AI_VECTOR_CORE,188,23,9.160,1789389240921757.587	,1789389240921766.747	
