Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630364.244	,21.680,0,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.281,603263,1.731,0.095,7.057,0.386,6.006,0.329,0.301,0.016,0.063,0.000
0,4294967295,1,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630427.245	,21.221,41.320000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.246,602111,1.731,0.095,7.348,0.403,5.928,0.325,0.354,0.019,0.064,0.000
0,4294967295,2,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630448.486	,9.200,0.029000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.925,228516,1.731,0.25,4.956,0.716,0.74,0.107,0.199,0.029,0.0,0.000
0,4294967295,3,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630457.706	,9.320,0.050000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.076,233509,1.731,0.245,4.834,0.683,0.993,0.14,0.212,0.03,0.0,0.000
0,4294967295,4,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630467.046	,9.720,0.000000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.251,239287,1.731,0.239,5.201,0.717,0.847,0.117,0.199,0.027,0.0,0.000
0,4294967295,5,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630476.806	,10.000,0.030000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508,247770,1.731,0.231,5.111,0.681,1.251,0.167,0.212,0.028,0.0,0.000
0,4294967295,6,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630486.826	,9.521,0.000000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128,235216,1.731,0.243,5.086,0.714,0.815,0.114,0.199,0.028,0.0,0.000
0,4294967295,7,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630496.367	,9.640,0.000000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.356,242764,1.731,0.235,4.932,0.67,1.179,0.16,0.211,0.029,0.0,0.000
0,4294967295,8,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630506.047	,9.840,0.110000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.347,242467,1.731,0.236,5.22,0.71,0.921,0.125,0.199,0.027,0.0,0.000
0,4294967295,9,82,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789388013630515.907	,9.960,0.160000,20,0,NO,"""1,32,1024;8,1024;8;8""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,32,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.342,242275,1.731,0.236,5.005,0.682,1.199,0.163,0.211,0.029,0.0,0.000
