Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,86,3,0.000,1789388013604431.646	,1789388013604431.646	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,0,21.680,1789388013630364.244	,1789388013630385.924	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,1,21.221,1789388013630427.245	,1789388013630448.466	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,2,9.200,1789388013630448.486	,1789388013630457.686	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,3,9.320,1789388013630457.706	,1789388013630467.026	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,4,9.720,1789388013630467.046	,1789388013630476.766	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,5,10.000,1789388013630476.806	,1789388013630486.806	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,6,9.521,1789388013630486.826	,1789388013630496.347	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,7,9.640,1789388013630496.367	,1789388013630506.007	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,8,9.840,1789388013630506.047	,1789388013630515.887	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,9,9.960,1789388013630515.907	,1789388013630525.867	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,10,9.600,1789388013630525.887	,1789388013630535.487	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,11,9.721,1789388013630535.527	,1789388013630545.248	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,12,9.600,1789388013630545.288	,1789388013630554.888	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,13,9.660,1789388013630554.908	,1789388013630564.568	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,14,9.300,1789388013630564.588	,1789388013630573.888	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,15,9.400,1789388013630573.908	,1789388013630583.308	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,16,9.161,1789388013630583.328	,1789388013630592.489	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,17,8.720,1789388013630592.509	,1789388013630601.229	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,18,8.900,1789388013630601.249	,1789388013630610.149	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,19,9.560,1789388013630610.169	,1789388013630619.729	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,20,9.480,1789388013630619.769	,1789388013630629.249	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,21,9.721,1789388013630629.289	,1789388013630639.010	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,22,9.720,1789388013630639.030	,1789388013630648.750	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,23,9.900,1789388013630648.770	,1789388013630658.670	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,24,9.620,1789388013630658.690	,1789388013630668.310	
0,N/A,EVENT_RECORD,82,25,0.020,1789388013630735.251	,1789388013630735.271	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,26,9.580,1789388013630736.932	,1789388013630746.512	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,27,9.520,1789388013630756.612	,1789388013630766.132	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,28,9.240,1789388013630766.152	,1789388013630775.392	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,29,9.240,1789388013630777.472	,1789388013630786.712	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,30,9.881,1789388013630786.732	,1789388013630796.613	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,31,9.880,1789388013630798.413	,1789388013630808.293	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,32,9.560,1789388013630808.313	,1789388013630817.873	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,33,9.560,1789388013630817.893	,1789388013630827.453	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,34,10.101,1789388013630827.493	,1789388013630837.594	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,35,9.800,1789388013630837.614	,1789388013630847.414	
0,N/A,EVENT_RECORD,82,36,0.020,1789388013630847.434	,1789388013630847.454	
0,N/A,EVENT_RECORD,82,37,0.020,1789388013630916.135	,1789388013630916.155	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,38,9.561,1789388013630935.775	,1789388013630945.336	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,39,9.520,1789388013630945.356	,1789388013630954.876	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,40,9.260,1789388013630958.676	,1789388013630967.936	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,41,9.240,1789388013630967.956	,1789388013630977.196	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,42,9.921,1789388013630979.316	,1789388013630989.237	
