
Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789185297414682.480	,1789185297414682.480	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,0,15.640,1789185298682179.300	,1789185298682194.940	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,1,14.200,1789185298682260.740	,1789185298682274.940	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,2,14.140,1789185298682274.980	,1789185298682289.120	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,3,14.120,1789185298682289.140	,1789185298682303.260	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,4,13.340,1789185298682303.280	,1789185298682316.620	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,5,7.500,1789185298682316.640	,1789185298682324.140	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,6,7.480,1789185298682324.160	,1789185298682331.640	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,7,7.520,1789185298682331.660	,1789185298682339.180	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,8,7.560,1789185298682339.220	,1789185298682346.780	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,9,7.760,1789185298682346.800	,1789185298682354.560	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,10,7.340,1789185298682354.580	,1789185298682361.920	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,11,7.400,1789185298682361.940	,1789185298682369.340	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,12,7.320,1789185298682369.360	,1789185298682376.680	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,13,7.420,1789185298682376.700	,1789185298682384.120	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,14,7.260,1789185298682384.140	,1789185298682391.400	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,15,7.260,1789185298682391.420	,1789185298682398.680	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,16,7.260,1789185298682398.700	,1789185298682405.960	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,17,7.280,1789185298682406.000	,1789185298682413.280	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,18,7.400,1789185298682413.300	,1789185298682420.700	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,19,7.280,1789185298682420.720	,1789185298682428.000	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,20,7.020,1789185298682448.580	,1789185298682455.600	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,21,5.680,1789185298682479.460	,1789185298682485.140	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,22,5.040,1789185298682504.860	,1789185298682509.900	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,23,4.740,1789185298682524.620	,1789185298682529.360	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,24,4.520,1789185298682543.900	,1789185298682548.420	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,25,4.460,1789185298682568.440	,1789185298682572.900	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,26,4.520,1789185298682593.020	,1789185298682597.540	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,27,4.540,1789185298682614.100	,1789185298682618.640	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,28,4.580,1789185298682633.500	,1789185298682638.080	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,29,4.480,1789185298682652.540	,1789185298682657.020	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,30,4.460,1789185298682671.840	,1789185298682676.300	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,31,4.540,1789185298682693.180	,1789185298682697.720	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,32,4.540,1789185298682713.380	,1789185298682717.920	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,33,4.620,1789185298682737.960	,1789185298682742.580	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,34,4.460,1789185298682761.140	,1789185298682765.600	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,35,4.460,1789185298682780.380	,1789185298682784.840	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,36,4.520,1789185298682799.580	,1789185298682804.100	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,37,5.020,1789185298682823.700	,1789185298682828.720	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,38,4.600,1789185298682847.480	,1789185298682852.080	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,39,4.480,1789185298682871.440	,1789185298682875.920	
0,MhcHeadCollapse,AI_VECTOR_CORE,47,40,4.440,1789185298682891.260	,1789185298682895.700	
